Sample Number,Depth,Depth Error,230ThAgeYrBP,
,(mm),,(corr.),
DA-01,2,1,-2,12
DA-40,5,1,33,19
DA-90,15,1,141,72
DA-20,29,1,213,78
DA-41,37,1,299,26
DA-42,48,1,378,26
DA-21,57,1,481,68
DA-43,75,1,568,29
DA-22,92,1,772,56
DA-23,108,1,1005,83
DA-44,136,1,1186,31
DA-70,157,1,1393,49
DA-14,175,1,1552,32
DA-25,192,1,1707,54
DA-26,232,1,2007,69
DA-45,268,1,2279,52
DA-71,294,1,2538,46
DA-27,319,1,2775,59
DA-46,359,1,3218,66
DA-72,375,1,3308,48
DA-28,404,1,3712,84
DA-73,435,1,3902,50
DA-02,445,1,4001,46
DA-29,484,1,4276,73
DA-74,492,1,4417,38
DA-47,516,1,4546,72
DA-48,553,1,4921,63
DA-75,572,1,5072,51
DA-30,609,1,5449,100
DA-101,617,1,5608,76
DA-102,617,1,5538,105
DA-103,617,1,5558,86
DA-104,617,1,5603,88
DA-105,617,1,5591,77
DA-76,634,1,5781,58
DA-31,674,1,6188,104
DA-77,688,1,6257,60
DA-78,735,1,6594,50
DA-32,755,1,6762,52
DA-79,780,1,7009,73
DA-49,822,1,7492,90
DA-34,839,1,7718,85
DA-50,855,1,7875,77
DA-51,864,1,8022,104
DA-52,870,1,8118,114
DA-80,879,1,8249,91
DA-96,904,1,8442,125
DA-37,927,1,8691,128
DA-61,960,1,8837,93
