Sample Number,Depth,238U,232Th,230Th/232Th,d234U,230Th/238U,230ThAge(yr),230ThAgeYrBP,d234UInitial
,(mm),(ppb),(ppt),(atomicx10-6),(measured),(activity),(uncorr.),(corr.),(corr.) 
DA-01,2±1,627±1,124±12,37±12,-48.6±1.4,0.00044±0.00014,58±10,(-2±12),-48.6±1.4
DA-40,5±1,704±2,290±18,36±5,-54±1.8,0.00089±0.00011,103±13,33±19,-54.0±1.8
DA-90,15±1,788±1,1559±13,21±1,-56±1.3,0.00249±0.00015,288±18,141±72,-56.0±1.3
DA-20,29±1,366±1,791±17,24±1,-53.6±2.2,0.00319±0.00017,369±20,213±78,-53.7±2.2
DA-41,37±1,796±2,453±20,94±6,-59.1±1.9,0.00324±0.00014,377±16,299±26,-59.1±1.9
DA-42,48±1,769±2,264±25,183±19,-65.5±2.1,0.00380±0.00020,445±23,378±26,-65.6±2.1
DA-21,57±1,407±1,757±17,48±2,-54.6±1.4,0.00537±0.00017,622±19,481±68,-54.7±1.4
DA-43,75±1,864±2,492±23,160±9,-63.8±1.7,0.00552±0.00017,646±20,568±29,-63.9±1.7
DA-22,92±1,345±1,498±17,87±4,-61±1.3,0.00764±0.00019,893±22,772±56,-61.2±1.3
DA-23,108±1,362±1,813±17,73±2,-64.6±1.2,0.00993±0.00019,1166±23,1005±83,-64.7±1.2
DA-44,136±1,753±2,328±23,412±30,-49.9±1.9,0.01087±0.00023,1257±27,1186±31,-50.1±2.0
DA-70,157±1,786±1,1004±11,171±3,-33.3±1.4,0.01322±0.00019,15047±21,1393±49,-33.4±1.4
DA-14,175±1,842±1,416±12,470±16,-48.6±1.1,0.01406±0.00023,1626±27,1552±32,-48.9±1.1
DA-25,192±1,366±1,494±17,192±7,-53.1±1.4,0.01568±0.00022,1823±25,1707±54,-53.4±1.4
DA-26,232±1,178±0.2,252±20,213±17,-52.1±1.4,0.01828±0.00040,2126±47,2007±69,-52.4±1.4
DA-45,268±1,728±1,762±27,323±12,-49.1±1.8,0.02050±0.00031,2380±37,2279±52,-49.4±1.9
DA-71,294±1,662±1,664±11,372±7,-52.4±1.4,0.02261±0.00025,2638±30,2538±46,-52.8±1.4
DA-27,319±1,339±1,473±18,295±11,-46.1±1.7,0.02493±0.00028,2892±33,2775±59,-46.5±1.7
DA-46,359±1,673±1,854±24,372±12,-47.8±2.0,0.02859±0.00041,3239±49,3218±66,-48.3±2.0
DA-72,375±1,671±1,568±12,568±14,-48.1±1.4,0.02917±0.00032,3399±38,3308±48,-48.5±1.4
DA-28,404±1,446±1,658±23,363±14,-60.3±2.0,0.03241±0.00054,3835±66,3712±84,-61.0±2.0
DA-73,435±1,676±1,706±12,538±10,-55.0±1.3,0.03401±0.00028,4003±13,3902±50,-55.6±1.3
DA-02,445±1,781±1,77±14,5735±1019,-59.7±1.2,0.03427±0.00038,4056±46,4001±46,-60.4±1.2
DA-29,484±1,539±1,457±20,717±33,-60.6±1.6,0.03682±0.00054,4368±66,4276±73,-61.4±1.6
DA-74,492±1,831±1,326±12,1586±57,-62.7±1.2,0.03772±0.00029,4487±36,4417±38,-63.5±1.3
DA-47,516±1,670±1,736±20,581±17,-71.6±1.7,0.03870±0.00049,4651±60,4546±72,-72.5±1.7
DA-48,553±1,637±1,369±22,1200±73,-60.2±1.7,0.04204±0.00048,5000±59,4921±63,-61.0±1.7
DA-75,572±1,553±1,432±9,917±27,-59.5±1.3,0.04339±.00034,5160±42,5072±51,-60.3±1.3
DA-30,609±1,416±1,549±19,582±22,-64.5±1.4,0.04645±0.00017,5564±88,5449±100,-65.5±1.5
DA-101,617±1,683±1,920±17,577±12,-77.5±1.3,0.04709±0.00046,5726±58,5608±76,-78.8±1.3
DA-102,617±1,639±1,736±31,662±30,-83.1±1.8,0.04617±0.00077,5646±97,5538±105,-84.4±1.8
DA-103,617±1,708±1,741±27,730±29,-83.2±1.4,0.04628±0.00061,5661±77,5558±86,-84.5±1.4
DA-104,617±1,672±1,709±29,731±31,-81.3±1.7,0.04675±0.00062,5707±79,5603±88,-82.6±1.7
